Date,Tournament,Surface,Rd,Rk,vRk,Player,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
14‑Apr‑2014,Sarasota CH,Clay,R16,221,173,Kyrgios d. Ruben Ramirez Hidalgo [ESP],7-6(8) 6-4,1.49,8.10%,1.60%,53.20%,75.80%,72.40%,0/2,1:38
14‑Apr‑2014,Sarasota CH,Clay,R32,221,235,Kyrgios d. (WC)Jarmere Jenkins [USA],6-3 6-4,1.24,23.20%,5.80%,58.00%,77.50%,55.20%,3月3日,1:26
10‑Feb‑2014,Memphis,Hard,R32,171,102,Tim Smyczek [USA] d. (WC)Kyrgios,6-7(5) 6-4 6-3,0.89,1.00%,5.00%,62.40%,58.70%,52.60%,5月10日,1:55
13‑Jan‑2014,Australian Open,Hard,R64,183,28,(27)Benoit Paire [FRA] d. (WC)Kyrgios,6-7(5) 6-7(5) 6-4 6-2 6-2,0.73,12.90%,5.90%,66.70%,70.20%,41.90%,17/24,3:20
13‑Jan‑2014,Australian Open,Hard,R128,183,81,(WC)Kyrgios d. Benjamin Becker [GER],6-3 6-7(5) 6-2 7-6(2),1.25,27.60%,10.60%,56.10%,91.30%,40.70%,4月7日,2:32
21‑Oct‑2013,Melbourne CH,Hard,R32,178,820,(Q)Blake Mott [AUS] d. (7)Kyrgios,6-3 7-5,0.8,1.60%,4.80%,72.60%,53.30%,41.20%,2月8日,1:10
30‑Sep‑2013,Sacramento CH,Hard,SF,191,100,(2)Tim Smyczek [USA] d. Kyrgios,6-3 6-1,0.66,0.00%,5.80%,63.50%,51.50%,36.80%,6月11日,0:59
30‑Sep‑2013,Sacramento CH,Hard,QF,191,133,Kyrgios d. (7)Bradley Klahn [USA],7-6(5) 2-6 7-6(4),0.88,3.20%,5.60%,68.00%,65.90%,42.50%,14/19,2:11
30‑Sep‑2013,Sacramento CH,Hard,R16,191,775,Kyrgios d. (Q)Thanasi Kokkinakis [AUS],2-6 7-6(6) 6-1,1.15,13.40%,8.50%,62.20%,76.50%,48.40%,2月5日,1:45
30‑Sep‑2013,Sacramento CH,Hard,R32,191,123,Kyrgios d. (4)Rajeev Ram [USA],7-6(4) 7-6(2),1.08,4.80%,7.20%,59.00%,81.60%,61.80%,6月7日,1:36
26‑Aug‑2013,US Open,Hard,R128,212,4,(4)David Ferrer [ESP] d. (Q)Kyrgios,7-5 6-3 6-2,0.6,8.40%,3.20%,69.50%,66.70%,31.00%,6月11日,1:51
26‑Aug‑2013,US Open Q,Hard,Q3,212,190,Kyrgios d. Malek Jaziri [TUN],4-6 6-3 6-4,1.04,9.00%,2.70%,54.10%,73.30%,54.90%,11月12日,2:13
26‑Aug‑2013,US Open Q,Hard,Q2,212,121,Kyrgios d. (9)Joao Souza [BRA],6-3 6-7(6) 6-4,1.43,19.50%,4.60%,59.80%,84.60%,48.60%,1月3日,2:25
26‑Aug‑2013,US Open Q,Hard,Q1,212,248,Kyrgios d. Greg Jones [AUS],6-4 6-4,1.44,18.20%,5.50%,61.80%,88.20%,52.40%,1月1日,1:19
27‑May‑2013,Roland Garros,Clay,R64,262,11,(10)Marin Cilic [CRO] d. (WC)Kyrgios,6-4 6-2 6-2,0.44,3.80%,5.00%,63.70%,64.70%,34.50%,2月7日,1:38
27‑May‑2013,Roland Garros,Clay,R128,262,52,(WC)Kyrgios d. Radek Stepanek [CZE],7-6(4) 7-6(8) 7-6(11),0.87,7.10%,5.00%,55.70%,82.10%,56.50%,5月6日,2:51
